City/Community,Zip Code(s
Downtown Fashion District (PO Boxes ,90055
Downtown Historic Core ,"90012, 90014, 90071"
Downtown Little Tokyo ,90012
Downtown South Park ,"90015, 90017"
Downtown Southeast ,90021
Downtown Terminal Annex (PO Boxes ,90086
Duarte,91010
Duarte?(PO Boxes,91009
Eagle Rock ,90041
East Hollywood ,90029
East La Mirada,90604
East Long Beach (Long Beach,90804
East Los Angeles,90022
"East Los Angeles,?City of Commerce",90023
East Rancho Dominguez,90221
Echo Park ,90026
Edwards AFB (Portion in LA County,93523
El Monte,"91731, 91732, 91733"
El Monte?(PO Boxes,91734
El Monte?(Wells Fargo Bank,91735
El Segundo,90245
"El Sereno, Monterey Hills, University Hills ",90032
Elizabeth Lake,93532
Elysian Valley ,90039
Encino ,"91316, 91436"
Encino (PO Boxes ,"91416, 91426"
Fair Oaks Ranch,91387
Fairfax ,90036
Fairmont,93536
Farmers Market ,90036
"Florence-Graham, South Los Angeles ",90001
Fuller Theological Seminary (Pasadena,91182
Gardena,"90247, 90248, 90249"
Glassell Park ,90065
Glendale,"91201, 91202, 91203, 91206, 91207, 91208, 91214, 91224"
Glendale?(Glendale Galleria PO Boxes,91210
Glendale?(PO Boxes,"91209, 91221, 91222, 91225, 91226"
Glendale?(Tropico,"91204, 91205"
Glendale?(Verdugo City,91046
Glendale Galleria & Americana at Brand (Glendale,91210
Glendora,"91740, 91741"
Glenoaks (Burbank,91504
Granada Hills ,91344
Granada Hills (PO Boxes ,91394
Green Valley,"91350, 91390"
Griffith Park ,90027
Hacienda Heights,91745
Hancock Park ,"90004, 90005, 90020"
Hansen Hills ,91331
Harbor City ,90710
Harbor Gateway/Shoestring ,"90061, 90247, 90248, 90501, 90502"
Harvard Heights ,90006
Hawaiian Gardens,90716
Hawthorne,"90250, 90251"
Hermosa Beach,90254
Hi Vista,93535
Hidden Hills,91302
Highland Park ,90042
Highland Park (PO Boxes ,90050
Holly Park (Hawthorne,90250
Hollywood ,"90027, 90028, 90038, 90046, 90068, 90069"
Hollywood (PO Boxes ,"90072, 90078, 90093"
Huntington Park,90255
Hyde Park ,90043
Industry,"90601, 91744, 91748, 91789, 91714, 91715, 91716"
Inglewood,"90301, 90302, 90303, 90304, 90305"
Inglewood?(PO Boxes,"90306, 90307, 90308, 90309, 90310, 90311, 90312"
Irwindale,"91010, 91702, 91706"
Jefferson Park ,90018
Juniper Hills,"93543, 93553"
Kagel Canyon,91342
Koreatown ,"90005, 90006"
La Ca?ada Flintridge,91011
La Ca?ada Flintridge?(PO Boxes,91012
La Crescenta,91214
La Crescenta (PO Boxes,91224
La Habra Heights,90631
La Mirada,90638
La Mirada?(Biola University,90639
La Mirada?(PO Boxes,90637
La Puente,91744
La Puente?(PO Boxes,"91747, 91749"
La Tuna Canyon ,91352
La Verne,91750
Ladera Heights,90056
Lake Balboa ,91406
Lake Hughes,93532
Lake Los Angeles,"93535, 93550, 93591"
Lake View Terrace ,91342
Lakewood,"90712, 90713, 90715"
Lakewood?(PO Boxes,"90711, 90714"
Lancaster,"93534, 93535, 93536, 93586"
Lancaster?(PO Boxes,"93539, 93584"
Lawndale,90260
Lawndale Federal Bldg,90261
Leimert Park ,"90008, 90018"
Lennox,90304
Leona Valley,"93532, 93551"
"Lincoln Heights, Montecito Hieghts ",90031
Littlerock,93543
Lockheed Advanced Dev Co (Palmdale,93599
Lomita,90717
Long Beach,"90802, 90806, 90808, 90810, 90813, 90814, 90815, 90822, 90740 (overlaps Orange County"
Long Beach?(AARP Pharmacy,90848
Long Beach?(AARP,90847
Long Beach?(Belmont Shore PO Boxes,90853
"Long Beach?(Belmont Shore, Marina, Naples",90803
Long Beach?(Bixby Knolls,90807
Long Beach?(Boeing,90846
Long Beach?(California State Univ Long Beach,90840
Long Beach?(Dept. of Gas & Water,90842
Long Beach?(East Long Beach,90804
Long Beach?(LA International Service Center,90899
Long Beach?(Non-Geographic Zip Code Within 90802,90834
Long Beach?(North Long Beach,90805
Long Beach?(PO Boxes,"90801, 90809"
Long Beach?(Press Telegram,90844
Long Beach?(World Trade Center PO Boxes,90832
Long Beach?(World Trade Center,"90831, 90833, 90835"
Arleta,91331
Arlington Heights,90019
Atwater Village,90039
Baldwin Hills,90008
Bel Air Estates,90077
Bel Air Estates,90049
Beverly Glen,90077
Brentwood,90049
Byzantine-Latino Quarter,90006
Canoga Park,91304
Castellemare,90272
Cheviot Hills,90064
Chinatown,90012
Country Club Park,90019
Crenshaw,90008
Cypress Park,90065
Downtown Arts District,90014
Downtown Bunker Hill,"90017, 90071"
Downtown City West,90017
Downtown Civic Center,90012
Downtown Historic Core,90014
Dowtown Fashion District,"90013, 90015, 90079"
Echo Park,90026
"El Sereno, Monterey Hills, University Hills",90032
Elysian Valley,90039
Fairfax,90036
Florence-Graham,90001
Glassell Park,90065
Griffith Park,90027
Hancock Park,"90004, 90020"
Hansen Hills,91331
Harbor Gateway/Shoestring,"90061, 90247, 90248, 90501, 90502"
Harvard Heights,90006
Hollywood,"90027, 90028, 90038, 90046, 90068, 90069"
Hyde Park,90043
Jefferson Park,90018
Koreatown,90006
La Tuna Canyon,91352
Lake View Terrace,91342
Leimert Park,90008
Leimert Park,90018
Little Tokyo,90012
Los Angeles International Airport,90045
Los Feliz,90027
Melrose,"90036, 90046, 90069"
Mid-City,90019
Mid-City West,90048
Miracle Mile,90036
Mission Hills,"91340, 91345"
Mission Hills PO Boxes,"91346, 91395"
Monterey Hills,90032
Mt Olympus,90046
Mt Washington,90065
North Hills,91343
North Hills PO Boxes,91393
North Hollywood,"91601, 91602, 91605, 91606, 91607"
North Hollywood PO Boxes,"91603, 91609, 91614, 91615, 91616, 91618"
North Hollywood/US Purchasing Exchange,"91611, 91612"
Northridge,"91324, 91325, 91326"
Northridge PO Boxes,"91327, 91328"
Northridge/JB Lansing Co,91329
Pacific Highlands,90272
Pacific Palisades,90272
Pacoima,91331
Pacoima PO Boxes,"91333, 91334"
Palms,90034
Panorama City,91402
Panorama City PO Boxes,91412
Park La Brea,90036
Pico Heights,90006
Pierce College,91371
Playa del Rey,90293
Playa del Rey PO Boxes,90296
Playa Vista,90094
Porter Ranch,91326
Rampart Village,90004
Rancho Park,90064
Reseda,91335
Reseda PO Boxes,91337
San Pedro,"90731, 90732"
San Pedro PO Boxes,"90733, 90734"
Sawtelle,90025
Shadow Hills,91040
Sherman Oaks,"91403, 91423"
"Sherman Oaks, Van Nuys PO Boxes",91413
Sherman Village,91607
Silver Lake,"90026, 90039"
South Los Angeles,"90037, 90044, 90047,90062"
South Los Angeles PO Boxes,"90051, 90052, 90054, 90082, 90087"
South Park-North,"90015, 90017"
South Park-South,90015
Southeast Los Angeles,"90002, 90003, 90007, 90011, 90037, 90058"
Studio City,"91602, 91604"
Sun Valley,91352
Sun Valley PO Boxes,91353
Sunland,91040
Sunland PO Boxes,91041
Sylmar,"91340, 91342"
Sylmar PO Boxes,91392
Tarzana,91356
Tarzana PO Boxes,91357
Terminal Island,90731
Toluca Lake,91602
Toluca Lake PO Boxes,91610
Toluca Terrace,91601
Topanga State Park,90272
Tujunga,91042
Tujunga PO Boxes,91043
University of California Los Angeles,90095
University of Southern California,90089
University Park,90007
Valley Glen,"91401, 91405, 91606, 91607"
Valley Village,91607
Valley Village PO Boxes,91617
Van Nuys,"91401, 91405, 91406, 91411"
Van Nuys PO Boxes,"91404, 91407, 91408, 91409, 91410"
Van Nuys/Blue Cross of Southern California,91470
Van Nuys/Business Reply,91499
Van Nuys/Deluxe Check,91482
Van Nuys/US Purchasing Corp,91496
Van Nuys/US Purchasing Exchange,91495
Venice,90291
Venice PO Boxes,90294
View Park,90043
Virgil Village,90004
Watts,"90002, 90059"
Watts PO Boxes,90060
Wells Fargo,"90084, 90088"
West Adams,90016
West Beverly,90048
West Fairfax,90035
West Hills,"91304, 91307"
West LA,90025
West Toluca Lake,91602
Westchester,90045
Westchester PO Boxes,90083
Western Wilton,90020
Westlake,90057
Westwood,90024
Wilmington,90744
Wilmington PO Boxes,90748
Wilshire Center,"90004, 90005, 90010, 90020"
Wilshire Center PO Boxes,"90070, 90075, 90076"
Wilshire Park,90005
Windsor Hills,90043
Windsor Square,"90004, 90005, 90010, 90020"
Winnetka,91306
Winnetka PO Boxes,91396
Woodland Hills,"91302, 91303, 91364, 91367"
Woodland Hills PO Boxes,"91365, 91372"
Los Angeles Dodgers ,90090
Los Angeles International Airport (PO Boxes ,"90009, 90080"
"Los Angeles International Airport, Westchester ",90045
Los Feliz ,90027
Los Nietos,90606
Los Nietos (PO Boxes,90610
Lynwood,90262
Malibu,90265
Malibu?(Pepperdine University,90263
Malibu?(PO Boxes,90264
Manhattan Beach,90266
Manhattan Beach?(PO Boxes,90267
Mar Vista ,90066
Marina (Long Beach,90803
Marina del Rey,90292
Marina del Rey?(PO Boxes,90295
Marina Peninsula ,90292
Maywood,90270
Melrose ,"90036, 90046, 90069"
Metler Valley,93536
Mid-City ,90019
Mid-City West ,90048
Mint Canyon,"91350, 91387"
Miracle Mile ,90036
Mission Hills ,"91340, 91345"
Mission Hills (PO Boxes ,"91346, 91395"
Monrovia,"91010, 91016"
Monrovia?(PO Boxes,91017
Monte Nido,91302
Montebello,90640
"Montecito Heights, Lincoln Heights ",90031
"Monterey Hills, El Sereno, University Hills ",90032
Monterey Park,"91754, 91755"
Monterey Park?(Southern California Gas Co,91756
Montrose,"91020, 91214"
Montrose?(PO Boxes,91021
Mount Baldy (Portion in LA County,91759
Mount Wilson (PO Boxes,91023
Mt. Washington ,90065
Naples (Long Beach,90803
Neenach,93536
Newhall (PO Boxes (Santa Clarita,91322
Newhall,91321
North Hills ,91343
North Hills (PO Boxes ,91393
North Hollywood ,"91601, 91602, 91604, 91605, 91606, 91607"
North Hollywood (PO Boxes ,"91603, 91609, 91610, 91614, 91615, 91616, 91618"
North Long Beach (Long Beach,90805
Northridge ,"91324, 91325, 91326"
Northridge (PO Boxes ,"91327, 91328"
Northridge/JB Lansing Co ,91329
Norwalk,90650
Norwalk?(PO Boxes,"90651, 90652"
Ocean Park (Santa Monica,90405
"Pacific Highlands, Pacific Palisades ",90272
"Pacific Palisades, Pacific Highlands ",90272
Pacoima ,"91331, 91340"
Pacoima (PO Boxes ,"91333, 91334"
Palmdale,"93550, 93551, 93552, 93591"
Palmdale?(Lockheed Advanced Dev Co,93599
Palmdale?(PO Boxes,93590
Palms ,90034
Palos Verdes Estates,"90274, 90275"
Panorama City ,91402
Panorama City (PO Boxes ,91412
Paramount,90723
Park La Brea ,90036
Pasadena,"91101, 91103, 91104, 91105, 91106, 91107"
Pasadena?(Ambassador College,91123
Pasadena?(Ambassador I C Foundation,91129
Pasadena?(Avon Products,91121
Pasadena?(California Institute of Technology,"91125, 91126"
Pasadena?(City National Bank,91199
Pasadena?(Fuller Theological Seminary,91182
Pasadena?(J P Morgan Chase,91189
Pasadena?(Kaiser Foundation Health,91188
Pasadena?(Mellon Regional Lockbox Network,91185
Pasadena?(Non-Geographic Zip Code Within 91803,91123
Pasadena?(PO Boxes,"91102, 91109, 91114, 91115, 91116, 91117"
Pasadena?(Ralph M Parsons Co PO Boxes,91124
Pasadena?(Shared Firms,91110
Pasadena?(Tournament of Roses Assn,91184
Pearblossom/Llano,"93553, 93563, 93544"
Pepperdine University (Malibu,90263
Phillips Ranch (Pomona,91766
Pico Heights ,90006
Pico Rivera,90660
Pico Rivera?(PO Boxes,"90661, 90662"
"Pierce College (Woodland Hills,?Los Angeles",91371
Playa del Rey ,90293
Playa del Rey (PO Boxes ,90296
Playa Vista ,90094
Pomona,"91767, 91768"
Pomona?(Bureau of the Census,91797
Pomona?(Phillips Ranch,91766
Pomona?(PO Boxes,91769
Porter Ranch ,91326
Quartz Hill,93536
Quartz Hill?(PO Boxes,93586
Rampart Village ,90004
Rancho Dominguez,90220
Rancho Dominguez (PO Boxes,90224
Rancho Palos Verdes,"90275, 90732"
Rancho Park ,90064
Redondo Beach,"90277, 90278"
Reseda ,91335
Reseda (PO Boxes ,91337
Rolling Hills Estates,90275
Rolling Hills,90274
Roosevelt,93535
Rosemead,91770
Rosemead?(Southern California Edison Co,"91771, 91772"
Rosewood,90222
Rowland Heights,91748
San Dimas,91773
San Fernando,91340
San Fernando?(PO Boxes,91341
San Gabriel,"91775, 91776"
San Gabriel?(PO Boxes,91778
San Marino,91108
San Marino?(PO Boxes,91118
San Pedro ,"90731, 90732"
San Pedro (PO Boxes ,"90733, 90734"
Sandberg,93532
Santa Catalina Island (PO Boxes,90704
Santa Clarita,"91321, 91350, 91351, 91354, 91355, 91382, 91387, 91390"
Canyon Country,"91351, 91387, 91386"
Newhall,"91321, 91322"
Valencia,"91354, 91355, 91380, 91385"
Santa Fe Springs,90670
Santa Fe Springs?(PO Boxes,90671
Santa Monica,"90401, 90402, 90403, 90404, 90405, 90406, 90407, 90408, 90409, 90410, 90411"
Santa Monica Airport ,90405
Sawtelle ,90025
Shadow Hills ,91040
Sherman Oaks ,"91403, 91413, 91423"
Sherman Village ,91607
Sierra Madre,91024
Sierra Madre?(PO Boxes,91025
Signal Hill,90755
Silver Lake ,"90026, 90039"
Sleepy Valley,91350
South El Monte,91733
South Gate,90280
South Los Angeles ,"90001, 90037, 90044, 90047, 90062"
South PO Boxes ,"90051, 90052, 90082, 90087"
South Los Angeles/Broadway Manchester ,90003
South Pasadena,91030
South Pasadena?(PO Boxes,91031
South Whittier,"90604, 90605"
Southeast Los Angeles ,"90002, 90003, 90007, 90011, 90037, 90058"
Southern California Edison Co (Rosemead,"91771, 91772"
Southern California Gas Co (Monterey Park,91756
Stevenson Ranch,91381
Studio City ,"91602, 91604"
Sun Valley ,91352
Sun Valley (PO Boxes ,91353
Sun Village,93543
Sunland ,91040
Sunland (PO Boxes ,91041
Sunpark (Santa Monica,90405
Sylmar ,"91340, 91342"
Sylmar (PO Boxes ,91392
Tarzana ,91356
Tarzana (PO Boxes ,91357
Temple City,91780
Terminal Island ,90731
Three Points,93532
Toluca Lake ,91602
Toluca Lake (PO Boxes ,91610
Toluca Terrace ,91601
Topanga,90290
Topanga State Park ,90272
Torrance,"90277, 90278, 90501, 90503, 90504, 90505"
Torrance?(Camino College,90506
Torrance?(PO Boxes,"90507, 90508, 90509, 90510"
"Torrance,?West Carson",90502
Tropico (Glendale,"91204, 91205"
Tujunga ,91042
Tujunga (PO Boxes ,91043
"Two Harbors, Santa Catalina Island (PO Boxes",90704
Universal City,91608
"University Hills, El Sereno, Monterey Hills (",90032
University Park ,90007
University of California Los Angeles ,90095
University of Southern California ,90089
"Val Verde,?Castaic",91384
Valencia (PO Boxes (Santa Clarita,"91380, 91385"
Valencia (Santa Clarita,"91354, 91355"
Valinda,91744
Valley Glen ,"91401, 91405, 91606, 91607"
Valley Village ,91607
Valley Village (PO Boxes ,91617
Valyermo,93563
Van Nuys ,"91401, 91403, 91406, 91411, 91423"
Van Nuys (PO Boxes ,"91404, 91407, 91408, 91409, 91410, 91413"
Van Nuys/Blue Cross of Southern California ,91470
Van Nuys/Business Reply ,91499
Van Nuys/US Purchasing Corp ,91496
Van Nuys/US Purchasing Exchange ,91495
Venice ,90291
Venice (PO Boxes ,90294
Verdugo City (Glendale,91046
Vernon,90058
Veterans Administration,90073
View Park ,90043
Virgil Village ,90004
Walnut,91789
Walnut?(Federal Home Loan Bank,91795
Walnut?(PO Boxes,91788
Walnut Park,90255
Walt Disney Co (Burbank,"91521, 91526"
Watts ,"90002, 90059"
Watts (PO Boxes ,90060
Wells Fargo ,"90084, 90088"
West Adams ,90016
"West Carson,?Torrance",90502
West Covina,"91790, 91791, 91792"
West Covina?(PO Boxes,91793
West Fairfax ,90035
West Hills ,"91304, 91307"
West Hollywood,"90046, 90048, 90069"
West Los Angeles ,90025
West Puente Valley,91746
West Toluca Lake ,91602
West Whittier,90606
Westchester (PO Boxes ,90083
"Westchester, Los Angeles International Airport ",90045
Western Wilton ,90020
Westlake ,90057
Westlake Village,91362
Westlake Village?(PO Boxes,91359
Westwood ,90024
Whittier,"90601, 90602, 90603, 90604, 90605"
Whittier?(PO Boxes,"90607, 90608"
Whittier?(Whittwood PO Boxes,90609
Whittwood (PO Boxes (Whittier,90609
Willowbrook,"90059, 90222"
Wilmington ,90744
Wilmington (PO Boxes ,90748
Wilshire Center ,"90004, 90005, 90010, 90020"
Wilshire Center (PO Boxes ,"90070, 90075, 90076"
Wilshire Park ,90005
Wilshire-La Brea ,90036
Wilsona Gardens,93535
Windsor Hills ,90043
Windsor Square ,"90004, 90005, 90010, 90020"
Winnetka ,91306
Winnetka (PO Boxes ,91396
Woodland Hills ,"91364, 91367"
Woodland Hills (PO Boxes ,"91365, 91372"
Woodland Hills/Pierce College ,91371
Santa Monica Mountains,91361
Lake Manor,91311
Mid-city,90019
East Lancaster,93536
West Rancho Dominguez,"90220, 90248"
View Heights,90043
Franklin Canyon,90210
Westfield/Academy Hills,"90274, 90275"
East Covina,91723
Llano,93544
Covina (Charter Oak),91724
White Fence Farms,93551
Pellissier Village,90601
Saugus,"91350, 91390"
Val Verde,91384
Del Aire,90250
Wiseburn,90245
North Lancaster,93536
East Pasadena,91107
West Chatsworth,91311
Rosewood/East Gardena,90222
Anaverde,93551
El Camino Village,90249
Littlerock/Pearblossom,93543
West Carson,"90502, 90710"
San Jose Hills,91744
East Whittier,90604
West Antelope Valley,93536
Athens Village,90061
North Whittier,90601
Littlerock/Juniper Hills,93543
Palos Verdes Peninsula,90274
South Antelope Valley,93550
Santa Catalina Island,90704
Northeast San Gabriel,91775
Athens-Westmont,90047
Placerita Canyon,91321
View Park/Windsor Hills,90043
Southeast Antelope Valley,93543
Kagel/Lopez Canyons,91342
Westhills,"91304, 91037"
San Francisquito Canyon/Bouquet Canyon,91355
South San Gabriel,91770
La Rambla,90731
La Canada Flintridge,"91011, 91012"
La Crescenta-Montrose,"91214, 91020"
Sand Canyon,91387
West Whittier/Los Nietos,90606
Sunrise Village,91733
Desert View Highlands,93551
Whittier Narrows,91733
Rosewood/West Rancho Dominguez,90248
